productcode,productname,productweight,productprice,productdescription,productdescription_abovepricing,photourl,Mariell Link,Category,SKU,Name,Description,List Price,Cost to Us,MAP Price,Weight,No. of Images,Has Options,SincereWedding Link,Errors
209E-CR,Tailored Solitaire Drop Earrings,0.1,8,"For a sparkling design with a tailored style, Mariell presents our top-selling beautiful round solitaire crystal earrings framed with pave crystals. These sophisticated wedding or prom earrings measure 1/2"" and dangle from a 1/2"" euro wire top. They are available in an array of colors at a fantastic price!","For a sparkling tailored style, Mariell presents our top-selling round solitaire wholesale crystal wedding or prom earrings at a fantastic price!",http://www.mariellonline.com/v/vspfiles/photos/209E-CR-1.jpg,,,,,,,,,,,,,
209E-CR-G,Tailored Crystal Solitaire Gold Drop Earrings,0.1,8,"For a sparkling design with a tailored style, Mariell presents our top-selling  beautiful round solitaire crystal earrings framed with pave crystals in a rich gold tone setting. These sophisticated wedding or prom earrings measure 1/2"" and dangle from a 1/2"" euro wire top. They are available in an array of colors at a fantastic price!","For a sparkling tailored style, Mariell presents our top-selling round solitaire crystal wedding or prom drop earrings at a fantastic wholesale price!",http://www.mariellonline.com/v/vspfiles/photos/209E-CR-G-1.jpg,,,,,,,,,,,,,
209E-DA,Tailored Amethyst Crystal Drop Earrings,0.1,8,"For a sparkling design with a tailored style, Mariell presents our top-selling  beautiful round solitaire dark amethyst crystal earrings framed with pave light amethyst crystals. These sophisticated earrings measure 1/2"" and dangle from a 1/2"" euro wire top. They are great for bridesmaids, proms and mothers of the bride and are available in an array of colors at a fantastic price!","For a sparkling tailored style, Mariell presents our top-selling round solitaire wholesale amethyst crystal bridesmaid or prom earrings at a great price!",http://www.mariellonline.com/v/vspfiles/photos/209E-DA-1.jpg,,,,,,,,,,,,,
209E-JE,Tailored Black Crystal Drop Earrings,0.1,8,"For a sparkling design with a tailored style, Mariell presents our top-selling  beautiful round solitaire jet black crystal earrings framed with pave black diamond crystals. These sophisticated earrings measure 1/2"" and dangle from a 1/2"" euro wire top. They are great for bridesmaids, proms and mothers of the bride and are available in an array of colors at a fantastic price!","For a sparkling tailored style, Mariell presents our top-selling round solitaire wholesale black crystal bridesmaid or prom earrings at a fantastic price!",http://www.mariellonline.com/v/vspfiles/photos/209E-JE-1.jpg,,,,,,,,,,,,,
209E-RG,Tailored Earrings in Rose Gold for Wedding or Prom,0.1,8,"For a sparkling design with tailored style, Mariell presents our top-selling Rose Gold earrings with a  beautiful peach coral crystal solitaire framed with pave crystals plated in a rich Rose Gold setting. These sophisticated bridal, bridesmaids or prom earrings are available in an array of colors at a fantastic wholesale price and are a must-have for every retailer!","Mariell's best selling earrings are 1"" h and are plated in gorgeous Rose Gold with matching crystals in stunning peach-champagne. These tailored wedding or prom earrings are available in an array of colors at a great low price!",http://www.mariellonline.com/v/vspfiles/photos/209E-RG-1.jpg,,,,,,,,,,,,,
209E-ST-G,Tailored Brown Crystal Drop Earrings,0.1,8,"For a sparkling design with a tailored style, Mariell presents our top-selling  beautiful round solitaire smoked topaz crystal earrings framed with pave light colorado crystals. These sophisticated brown multi earrings measure 1/2"" and dangle from a 1/2"" euro wire top. They are great for bridesmaids, proms and mothers of the bride and are available in an array of colors at a fantastic price!","For a sparkling tailored style, Mariell presents our top-selling round solitaire wholesale brown crystal bridesmaid or prom earrings at a fantastic price!",http://www.mariellonline.com/v/vspfiles/photos/209E-ST-G-1.jpg,,,,,,,,,,,,,
2101B,Lavish 6-Row Pearl & Crystal Bridal Illusion Bracelet,0.1,28,"The captivating look of floating crystals and pearls will be yours with Mariell's lavish 6-row illusion bracelet. This alluring bracelet features a bevy of dainty 4mm Austrian crystals and 6mm Swarovski crystal-based pearls hand strung on translucent illusion cord. This delicate yet high-styled wedding accessory measures 7"" and is proudly made in the USA. This chic bracelet is shown in classic bridal Ivory/Clear and is also available in White/Clear and 24 additional dazzling colors. This bracelet has stylish matching necklace style 2101N sold separately.",The captivating look of floating crystals and pearls will be yours with our 6-row illusion bracelet. This wholesale bracelet is a chic wedding accessory.,http://www.mariellonline.com/v/vspfiles/photos/2101B-1.jpg,,,,,,,,,,,,,
2101B-BL-S,Lavish 6-Row Pearl & Crystal Bridal Illusion Bracelet - Blue,0.1,28,"The captivating look of floating crystals and pearls will be yours with Mariell's lavish 6-row illusion bracelet. This alluring bracelet features a bevy of dainty 4mm Austrian crystals and 6mm Swarovski crystal-based pearls hand strung on translucent illusion cord. This delicate yet high-styled wedding accessory measures 7"" and is proudly made in the USA. This chic bracelet is shown in classic bridal Ivory/Clear and is also available in White/Clear and 24 additional dazzling colors. This bracelet has stylish matching necklace style 2101N sold separately.",The captivating look of floating crystals and pearls will be yours with our 6-row illusion bracelet. This wholesale bracelet is a chic wedding accessory.,http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,,
2101B-ES-S,Lavish 6-Row Pearl & Crystal Bridal Illusion Bracelet - Espresso,0.1,28,"The captivating look of floating crystals and pearls will be yours with Mariell's lavish 6-row illusion bracelet. This alluring bracelet features a bevy of dainty 4mm Austrian crystals and 6mm Swarovski crystal-based pearls hand strung on translucent illusion cord. This delicate yet high-styled wedding accessory measures 7"" and is proudly made in the USA. This chic bracelet is shown in classic bridal Ivory/Clear and is also available in White/Clear and 24 additional dazzling colors. This bracelet has stylish matching necklace style 2101N sold separately.",The captivating look of floating crystals and pearls will be yours with our 6-row illusion bracelet. This wholesale bracelet is a chic wedding accessory.,http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,,
2101B-EV-S,Lavish 6-Row Pearl & Crystal Bridal Illusion Bracelet - Evergreen,0.1,28,"The captivating look of floating crystals and pearls will be yours with Mariell's lavish 6-row illusion bracelet. This alluring bracelet features a bevy of dainty 4mm Austrian crystals and 6mm Swarovski crystal-based pearls hand strung on translucent illusion cord. This delicate yet high-styled wedding accessory measures 7"" and is proudly made in the USA. This chic bracelet is shown in classic bridal Ivory/Clear and is also available in White/Clear and 24 additional dazzling colors. This bracelet has stylish matching necklace style 2101N sold separately.",The captivating look of floating crystals and pearls will be yours with our 6-row illusion bracelet. This wholesale bracelet is a chic wedding accessory.,http://www.mariellonline.com/v/vspfiles/templates/Mariell/images/nophoto.gif,,,,,,,,,,,,,
